k,m,n,fout_hz,fvco_hz,vco_duty,logic_delay_ps,rise_fall_skew_ps,setup_min_ps,hold_min_ps,setup_violations,hold_violations,timing_valid,divider_raw_tie_fs,retimed_raw_tie_fs,retimer_added_raw_tie_fs,common_timing_gain,mean_output_duty_percent
14,8,112,336000000,2688000000,0.5,50,4,104.19692502636917,1330.9461924251082,0,0,True,3014.418493421264,159.42016645653916,58.20012569644195,0.9990206737787171,50.13442514114929
14,8,112,336000000,2688000000,0.4,110,0,6.994547818011624,1428.148580439912,0,0,True,3014.41849341891,159.42005107975172,58.20012568492639,0.999020770270156,50.00002514188962
15,8,120,360000000,2880000000,0.4,50,0,57.358997415636225,1277.7514914294857,0,0,True,3018.978824793925,162.4544372852169,57.829337874284924,1.0020581296192417,50.00003814260777
15,8,120,360000000,2880000000,0.5,50,0,92.0812156261042,1243.029262431206,0,0,True,3018.978824793925,162.45457790691611,57.82933788662476,1.0020582818936878,50.00003814260779
15,8,120,360000000,2880000000,0.6,50,0,126.80343383996029,1208.3070334329263,0,0,True,3018.978824793925,162.45471852494933,57.82933788715669,1.0020584342297367,50.00003814260721
15,8,120,360000000,2880000000,0.5,50,4,92.0812156261042,1243.029262431206,0,0,True,3018.978824793925,162.45457785269906,57.829337884088325,1.0020582815163432,50.14403814480593
15,8,120,360000000,2880000000,0.4,110,0,-2.6410025851729655,1337.751491430295,30,0,False,3018.9788247948863,,,,
16,8,128,384000000,3072000000,0.4,50,0,47.20200618507569,1201.8570069547843,0,0,True,2999.7361409005684,158.22398330112372,57.82546524055075,0.9985216324205017,50.000049753483154
16,8,128,384000000,3072000000,0.5,50,0,79.75408465116439,1169.3049211245911,0,0,True,2999.7361409005684,158.2241120197236,57.825465240425146,0.9985215987012408,50.0000497534835
16,8,128,384000000,3072000000,0.6,50,0,112.30616311810012,1136.7528352948216,0,0,True,2999.7361409005684,158.22424074206577,57.82546524523697,0.9985215649307807,50.000049753483246
16,8,128,384000000,3072000000,0.5,50,4,79.75408465116439,1169.3049211245911,0,0,True,2999.7361409005684,158.2241119983059,57.82546523782297,0.9985215985523895,50.15364975435078
16,8,128,384000000,3072000000,0.4,110,0,-12.797993814886471,1261.8570069549583,7791,0,False,2999.7361409020864,,,,
17,8,136,408000000,3264000000,0.4,50,0,40.14996523927998,1130.2809274353053,0,0,True,3030.0305725971793,162.03089561284406,58.221865502304254,1.0052223638408913,50.00001108935024
17,8,136,408000000,3264000000,0.5,50,0,70.78722639082913,1099.6436792020675,0,0,True,3030.0305725971793,162.0309101146438,58.22186550131078,1.0052221932280188,50.000011089350515
17,8,136,408000000,3264000000,0.6,50,0,101.42448754227242,1069.0064309688296,0,0,True,3030.0305725971793,162.03092460256505,58.22186549660408,1.0052220225551103,50.00001108935075
17,8,136,408000000,3264000000,0.5,50,4,70.78722639082913,1099.6436792020675,0,0,True,3030.0305725971793,162.03091010134384,58.22186550191264,1.0052221931312342,50.16321108836039
17,8,136,408000000,3264000000,0.4,110,0,-19.850034760735117,1190.2809274344204,16275,0,False,3030.030572594323,,,,
18,8,144,432000000,3456000000,0.4,50,0,34.55985668851194,1067.885099694942,0,0,True,3007.424596508771,159.75392943365236,57.747427908558855,0.9987482593694534,50.000016458336475
18,8,144,432000000,3456000000,0.5,50,0,63.49503594316528,1038.9499097608973,0,0,True,3007.424596508771,159.75412692228292,57.74742792186648,0.9987483052579504,50.000016458336916
18,8,144,432000000,3456000000,0.6,50,0,92.43021519781861,1010.0147198234644,0,0,True,3007.424596508771,159.75432440657477,57.74742791435393,0.9987483511566122,50.00001645833648
18,8,144,432000000,3456000000,0.5,50,4,63.49503594316528,1038.9499097608973,0,0,True,3007.424596508771,159.75412687752583,57.74742792460944,0.9987483049293631,50.17281645523549
18,8,144,432000000,3456000000,0.4,110,0,-25.440143310603187,1127.8850996957513,16384,0,False,3007.4245965007008,,,,
19,6,114,456000000,2736000000,0.4,50,0,64.48685287922693,979.4434269727936,0,0,True,3007.9661636830833,159.5521190187707,57.798108963870405,0.9996602948552533,50.000032298270234
19,6,114,456000000,2736000000,0.5,50,0,101.03656638115643,942.8937254224991,0,0,True,3007.9661636830833,159.55215104451517,57.79810896067471,0.9996603011216081,50.00003229827007
