k,m,n,fout_hz,fvco_hz,method,design_crossover_hz,window,high_hz,reference_fs,reference_buffer_fs,sampler_fs,charge_pump_fs,retimer_fs,output_buffer_fs,vco_fs,filter_resistor_fs,total_fs,below_200fs_in_hypothesis,vco_l1mhz_dbc_hz,reference_asd_as_sqrt_hz
40,4,160,960000000,3840000000,hybrid,1000000,10k_to_fout_over_2,480000000.0,29.77547389321726,36.728596017414695,28.28872845125866,25.371256983493158,43.817348162571335,43.817348162571335,57.103273171753145,77.70319918492028,129.6842797712462,True,-125,20
41,4,164,984000000,3936000000,hybrid,1000000,10k_to_10M,10000000,29.737801498664044,36.68094488436136,27.562953245457656,24.720332383246436,6.3213922517116385,6.3213922517116385,50.20702770099851,75.68963100145815,109.22557233559684,True,-125,20
41,4,164,984000000,3936000000,hybrid,1000000,10k_to_fout_over_2,492000000.0,29.77547389322256,36.72859601742141,27.598759464647642,24.75244583755883,44.361695188529396,44.361695188529396,55.822198845827494,75.80799928173558,128.09697244270993,True,-125,20
9,14,126,216000000,3024000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,35.8755899385322,32.17567072105093,6.3213922517116385,6.3213922517116385,65.34882970606157,98.5166625733265,145.81184162416665,True,-125,40
9,14,126,216000000,3024000000,hybrid,1000000,10k_to_fout_over_2,108000000.0,59.55090123147262,36.728566609320616,35.92216609632175,32.21744338929291,20.783647418102536,20.783647418102536,67.7857299239036,98.67059554028613,149.72766853137418,True,-125,40
10,12,120,240000000,2880000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,37.669369435458805,33.78445425710346,6.3213922517116385,6.3213922517116385,68.61627119136463,103.44249570199281,151.43207190646385,True,-125,40
10,12,120,240000000,2880000000,hybrid,1000000,10k_to_fout_over_2,120000000.0,59.55091642351714,36.72857620772207,37.71828425818302,33.828324399226524,21.907989410258544,21.907989410258544,71.34899073961462,103.60416381026666,155.71366572832892,True,-125,40
11,12,132,264000000,3168000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,34.24488130496255,30.71314023373042,6.3213922517116385,6.3213922517116385,62.37842835578604,94.0386324563571,140.7590162885236,True,-125,40
11,12,132,264000000,3168000000,hybrid,1000000,10k_to_fout_over_2,132000000.0,59.550926118404405,36.7285823301767,34.289355041469626,30.753027307477172,22.977380181387108,22.977380181387108,65.01862905716953,94.18562762997564,145.50286834219065,True,-125,40
12,10,120,288000000,2880000000,hybrid,1000000,10k_to_10M,10000000,59.47560299732809,36.68094488436136,37.669369435458805,33.78445425710346,6.3213922517116385,6.3213922517116385,68.61627119136463,103.44249570199281,151.43207190646385,True,-125,40
