corner,K,M,target_vco_MHz,code,frequency_at_0p2V_MHz,frequency_at_1V_MHz,nearest_endpoint_margin_MHz,vco_power_max_mW,measured_branch_power_max_mW
ff,11,12,3168.0,118,3163.3970125315946,3178.968953927883,4.602987468405247,1.8798561068029753,3.1874678368269125
ff,12,10,2880.0,187,2871.1703469089466,2882.796919573369,2.796919573369026,2.093849106693629,3.2299561793896303
ff,13,10,3120.0,128,3109.4253255879044,3124.0755681918604,4.075568191860675,1.934776208741355,3.0719197363022124
ff,14,8,2688.0,240,2681.2209542773585,2690.895756635029,2.895756635029316,2.255986562744912,3.57455600743025
ff,15,8,2880.0,185,2872.370240769981,2884.125805187346,4.125805187345982,2.0935301146785927,3.415250691182058
ff,16,8,3072.0,138,3064.340101547677,3078.399743420281,6.399743420280934,1.9578315725164692,3.2815357548285746
ff,17,8,3264.0,101,3249.4871376410606,3266.278250226034,2.2782502260336877,1.8349808851361007,3.160734248978619
ff,18,8,3456.0,67,3448.5592728132196,3468.5369648983074,7.440727186780452,1.744058994306705,3.0706155829640918
ff,19,6,2736.0,226,2732.7219168529587,2742.749310096289,3.278083147041321,2.211832006281388,3.2797165674792277
ff,20,6,2880.0,187,2873.7264163812843,2885.406647945548,5.406647945547581,2.094068305882129,3.164398781438883
ff,21,6,3024.0,151,3018.065219069991,3031.4639453472996,5.9347809300088885,1.979994533750202,3.050472841841842
ff,22,6,3168.0,120,3156.698295425073,3171.9369458656965,3.9369458656964302,1.903448832395775,2.97650879416254
ff,23,6,3312.0,92,3305.535127269688,3322.9314186991373,6.46487273031187,1.8124562090494227,2.8874402380256483
ff,24,6,3456.0,68,3444.3507567276383,3464.3241996507413,8.3241996507411,1.7443431610500748,2.8206424316384817
ff,25,6,3600.0,47,3597.883443694926,3620.376591499316,2.116556305073738,1.6729128585882835,2.7525093167047774
ff,26,6,3744.0,28,3733.95611997575,3759.2863140755744,10.043880024250031,1.6267112241285002,2.708004073230654
ff,27,6,3888.0,11,3881.901822328016,3910.0554878880625,6.098177671984196,1.582073228162793,2.665392945758959
ff,28,4,2688.0,242,2685.806436807358,2695.346534442419,2.193563192642212,2.256638614723599,3.256160759994215
ff,29,4,2784.0,213,2780.763508258626,2791.4804019178823,3.236491741374016,2.1657415018127306,3.167136565666455
ff,30,4,2880.0,187,2876.582120480377,2888.2565132754603,3.4178795196232796,2.094154819820976,3.0976441742929723
ff,31,4,2976.0,162,2969.131234770826,2981.977330252379,5.97733025237894,2.026352720791783,3.0314107649275384
ff,32,4,3072.0,140,3064.27140803297,3078.279059532279,6.279059532279015,1.958403717268245,2.9651304959969202
ff,33,4,3168.0,120,3159.7307286304263,3175.193538655697,7.193538655696869,1.9036200404907326,2.913414304613313
ff,34,4,3264.0,102,3254.367888838481,3271.140911230956,7.140911230956077,1.835688032370132,2.846365066071058
ff,35,4,3360.0,84,3352.4116975586303,3370.427767758033,7.5883024413695335,1.789509244500431,2.802373150029012
ff,36,4,3456.0,68,3447.992274912097,3467.589929757631,8.007725087903022,1.744629681346252,2.7592067295337137
ff,37,4,3552.0,55,3544.399029579185,3565.9796801841303,7.600970420814991,1.6947147180514854,2.711308552026826
ff,38,4,3648.0,42,3630.392774787578,3653.284037324339,5.284037324338913,1.6729991472275456,2.692360379741054
ff,39,4,3744.0,28,3737.7162922749553,3762.71995924478,6.283707725044727,1.6268539395969839,2.648632091990254
ff,40,4,3840.0,18,3818.2956105798835,3845.1123947534065,5.112394753406525,1.6036720924943564,2.626429912507894
ff,41,4,3936.0,6,3926.1861457793384,3955.1074663558006,9.813854220661641,1.5590361913121906,2.584168983175101
