k,m,n,fout_hz,fvco_hz,initial_code,phase0_rad,bank_scale,target_hz,selected_code,searches,trials_last_search,handoff_us,settled,settling_us,final_error_hz,final_phase_rad,control_min_v,control_max_v,rail_violation_cycles
19,6,114,456000000,2736000000,0,3.1405926535897932,1.0,2736000000,224,1,9,13.208333333333334,True,15.458333333333334,-3.814697265625e-06,-7.054163636892463e-13,0.6,0.6687068072012956,0
19,6,114,456000000,2736000000,127,0.0,1.0,2736000000,224,1,8,11.75,True,13.625,0.0,-1.5087896157750027e-13,0.6,0.6413896247558563,0
19,6,114,456000000,2736000000,127,0.7,1.0,2736000000,224,1,8,11.75,True,13.75,9.5367431640625e-07,-1.5087896157750027e-13,0.6,0.6243072891650946,0
19,6,114,456000000,2736000000,127,2.8,1.0,2736000000,224,1,8,11.75,True,14.25,0.0,3.0386838930896385e-13,0.5847529036361429,0.6375,0
19,6,114,456000000,2736000000,127,3.1405926535897932,1.0,2736000000,224,1,8,11.75,True,14.708333333333332,4.76837158203125e-07,5.4933502433099316e-14,0.6,0.6809995192121476,0
19,6,114,456000000,2736000000,255,0.0,1.0,2736000000,224,1,9,13.208333333333334,True,15.25,4.76837158203125e-07,6.174770067925404e-13,0.6,0.6519683084157377,0
19,6,114,456000000,2736000000,255,0.7,1.0,2736000000,224,1,9,13.208333333333334,True,14.916666666666668,0.0,-7.467650458668519e-13,0.6,0.6375,0
19,6,114,456000000,2736000000,255,2.8,1.0,2736000000,224,1,9,13.208333333333334,True,15.583333333333334,4.76837158203125e-07,1.627296559060763e-13,0.5669599895330005,0.6243072891650965,0
19,6,114,456000000,2736000000,255,3.1405926535897932,1.0,2736000000,224,1,9,13.208333333333334,True,15.666666666666666,0.0,-2.9201769498038783e-13,0.5856040655974447,0.6375,0
20,6,120,480000000,2880000000,0,0.0,1.0,2880000000,183,1,9,13.208333333333334,True,15.5,-4.76837158203125e-06,-1.00928475299821e-12,0.5925907069856126,0.6375,0
20,6,120,480000000,2880000000,0,0.7,1.0,2880000000,183,1,9,13.208333333333334,True,15.916666666666666,-5.7220458984375e-06,-1.00928475299821e-12,0.5851621563296844,0.6375,0
20,6,120,480000000,2880000000,0,2.8,1.0,2880000000,183,1,9,13.208333333333334,True,15.333333333333334,0.0,-3.487249381011464e-13,0.6,0.6678281861371859,0
20,6,120,480000000,2880000000,0,3.1405926535897932,1.0,2880000000,183,1,9,13.208333333333334,True,15.25,0.0,-3.487249381011464e-13,0.6,0.6608597194914652,0
20,6,120,480000000,2880000000,127,0.0,1.0,2880000000,183,1,8,11.75,True,13.125,0.0,-7.859636471297526e-13,0.6,0.6375,0
20,6,120,480000000,2880000000,127,0.7,1.0,2880000000,183,1,8,11.75,True,13.708333333333334,1.430511474609375e-06,1.2353105464317557e-13,0.6,0.6375,0
20,6,120,480000000,2880000000,127,2.8,1.0,2880000000,183,1,8,11.75,True,14.333333333333334,0.0,-1.2540383223268897e-13,0.6,0.6839201141920674,0
20,6,120,480000000,2880000000,127,3.1405926535897932,1.0,2880000000,183,1,8,11.75,True,14.208333333333332,0.0,-5.801511831191531e-13,0.6,0.6814311292404929,0
20,6,120,480000000,2880000000,255,0.0,1.0,2880000000,183,1,9,13.208333333333334,True,14.25,4.76837158203125e-07,-3.7226786771533185e-14,0.6,0.6375,0
